FILENAME, NUM_CITIES, NUM_WORKERS, RUNTIME
RaceTrap, 10, 1, 13 
RaceTrap, 10, 2, 5 
RaceTrap, 10, 3, 5 
RaceTrap, 10, 4, 4 
RaceTrap, 10, 5, 4 
RaceTrap, 10, 6, 5 
RaceTrap, 10, 7, 5 
RaceTrap, 10, 8, 5 
RaceTrap, 11, 1, 37 
RaceTrap, 11, 2, 20 
RaceTrap, 11, 3, 15 
RaceTrap, 11, 4, 13 
RaceTrap, 11, 5, 12 
RaceTrap, 11, 6, 12 
RaceTrap, 11, 7, 12 
RaceTrap, 11, 8, 15 
RaceTrap, 12, 1, 177 
RaceTrap, 12, 2, 100 
RaceTrap, 12, 3, 73 
RaceTrap, 12, 4, 54 
RaceTrap, 12, 5, 65 
RaceTrap, 12, 6, 67 
RaceTrap, 12, 7, 74 
RaceTrap, 12, 8, 75 
RaceTrap, 13, 1, 697 
RaceTrap, 13, 2, 412 
RaceTrap, 13, 3, 304 
RaceTrap, 13, 4, 251 
RaceTrap, 13, 5, 271 
RaceTrap, 13, 6, 294 
RaceTrap, 13, 7, 275 
RaceTrap, 13, 8, 259 
RaceTrap, 14, 1, 3968 
RaceTrap, 14, 2, 2377 
RaceTrap, 14, 3, 1668 
RaceTrap, 14, 4, 1657 
RaceTrap, 14, 5, 1536 
RaceTrap, 14, 6, 1598 
RaceTrap, 14, 7, 1597 
RaceTrap, 14, 8, 1608 
RaceTrap, 15, 1, 19407 
RaceTrap, 15, 2, 11941 
RaceTrap, 15, 3, 9146 
RaceTrap, 15, 4, 7546 
RaceTrap, 15, 5, 7514 
RaceTrap, 15, 6, 9083 
RaceTrap, 15, 7, 8399 
RaceTrap, 15, 8, 8379 
RaceTrap, 16, 1, 96643 
RaceTrap, 16, 2, 61243 
RaceTrap, 16, 3, 42964 
RaceTrap, 16, 4, 31760 
RaceTrap, 16, 5, 33186 
RaceTrap, 16, 6, 33840 
RaceTrap, 16, 7, 32226 
RaceTrap, 16, 8, 34029 
precode, 10, 1, 9 
precode, 11, 1, 29 
precode, 12, 1, 150 
precode, 13, 1, 534 
precode, 14, 1, 3195 
precode, 15, 1, 15985 
precode, 16, 1, 90363 
iterative, 10, 1, 13 
iterative, 11, 1, 24 
iterative, 12, 1, 129 
iterative, 13, 1, 389 
iterative, 14, 1, 2598 
iterative, 15, 1, 14767 
iterative, 16, 1, 48807 
